Name,Continent,Users(in M),Popular_Genre,AvgUserTime(in hrs)
Bharat,Asia,55.36,Hip-Hop,3.7
USA,North America,88.79,Rock,3.8
Spain,Europe,47.51,Pop,1.5
France,Europe,64.62,Pop,2
UK,Europe,3.72,Lo-fi,3
Norway,Europe,1.13,Symphonic,0.5
South Korea,Asia,4.37,K-Pop,1.5
Japan,Asia,5.46,Acoustic,0.27
Canada,North America,11.82,Hip-Hop,3.2
Argentina,South America,6.28,Tango,2.5
Australia,Oceana,9.78,Rock,1.3
Germany,Europe,21.27,Hip-Hop,2
Pakistan,Asia,23.5,Ghazal,4
Italy,Europe,7.88,Jazz,3
Mexico,North America,2.5,K-Pop,1
Portugal,Europe,1.2,Tango,0.5
Mongolia,Asia,2.5,Hip-Hop,2.2
Peru,South America,3.6,Acoustic,3.3
Singapore,Asia,1.3,Rock,1
France,Europe,3.4,Jazz,1.2
