Podcast_Name,Podcast_Artist,Genre,Language,Episodes,Rating
Bhagvad Gita,Swami Adgadanand,Devotion,Hindi,18,5
Nightmare Tales,Kat Wolfgang,Horror,English,14,4.6
Shivaji Maharaj,Aditya Davane,History,Hindi,34,4.9
Indian Silicon Valley,Jivraj Singh Sachar,Technology,English,133,4.7
Far From Fat,Keshav Naidu,Comedy,English,259,4.3
Climate Emerger,Suno India,Educatonal,English,61,4.7
Mahabharatam,Titanis Studios,History,Sanskrit,15,4.8
Bhoot Bhulaiya,Kommune ,Horror,Hindi,7,4.7
Getting Meta,IVM Podcasts,Motivation,English,7,4.8
Heirs of Pandavas,WYN Studio,Story,English,10,4.6
Zindgi Diaries,IVM Podcasts,Books,Hindi,20,5
Ek Aur Kahani,Spotify Studios,Books,Hindi,12,4.6
The Internet said so,Varun Thakur,Comedy,English,175,4.9
Rotten Mango,StephanieSoo&Ramble,Horror,English,272,4.9
Founders Unfiltered,A Junior VC,Business,English,81,4.9
Srimad Bhagvad Gita,Shemaroo,Motivational,Hindi,18,4.8
Chol Rajvansh,Channel 176Productions,History,Hindi,10,4.9
Abhijit Chavda Podcas,Abhijit Chavda,Politics,Hindi,35,5
All About Movies,Spotify Studios,Arts&Entertainment,Hindi,250,4.7
Malgudi Days,RK Narayan,Drama,Hindi,35,4
